file,energy_before_eV,energy_after_eV,natoms,relaxed_cif
struct_0001.cif,-28.487114,-28.48935,4,struct_0001_relaxed.cif
struct_0002.cif,-111.92127,-112.09351,15,struct_0002_relaxed.cif
struct_0003.cif,-42.63215,-42.68555,6,struct_0003_relaxed.cif
struct_0004.cif,-41.544533,-41.70546,6,struct_0004_relaxed.cif
struct_0005.cif,-69.632904,-69.65601,9,struct_0005_relaxed.cif
struct_0006.cif,-130.29552,-130.69424,16,struct_0006_relaxed.cif
struct_0007.cif,-41.5824,-41.718246,6,struct_0007_relaxed.cif
struct_0008.cif,-79.956795,-79.95685,10,struct_0008_relaxed.cif
struct_0009.cif,-40.294598,-40.296646,6,struct_0009_relaxed.cif
struct_0010.cif,-83.25975,-83.282684,12,struct_0010_relaxed.cif
struct_0011.cif,-42.779144,-43.601925,6,struct_0011_relaxed.cif
struct_0012.cif,-81.80128,-81.84413,11,struct_0012_relaxed.cif
struct_0013.cif,-146.25522,-146.38863,20,struct_0013_relaxed.cif
struct_0014.cif,-52.92952,-53.08372,8,struct_0014_relaxed.cif
struct_0015.cif,-139.08014,-139.15388,20,struct_0015_relaxed.cif
struct_0016.cif,-81.39019,-83.35839,12,struct_0016_relaxed.cif
struct_0017.cif,-69.609726,-69.61051,9,struct_0017_relaxed.cif
struct_0018.cif,-69.59168,-69.638,9,struct_0018_relaxed.cif
struct_0019.cif,-28.482086,-28.483685,4,struct_0019_relaxed.cif
struct_0020.cif,-93.92011,-94.145035,14,struct_0020_relaxed.cif
struct_0021.cif,-85.69326,-85.95427,12,struct_0021_relaxed.cif
struct_0022.cif,-28.228317,-28.248487,4,struct_0022_relaxed.cif
struct_0023.cif,-81.98114,-82.0037,11,struct_0023_relaxed.cif
struct_0024.cif,-104.75535,-104.768486,14,struct_0024_relaxed.cif
struct_0025.cif,-28.470901,-28.47264,4,struct_0025_relaxed.cif
struct_0026.cif,-134.13617,-135.13968,19,struct_0026_relaxed.cif
struct_0027.cif,-28.283186,-28.488323,4,struct_0027_relaxed.cif
struct_0028.cif,-79.912964,-79.991264,10,struct_0028_relaxed.cif
struct_0029.cif,-139.24623,-139.39175,18,struct_0029_relaxed.cif
struct_0030.cif,-58.759182,-58.76787,8,struct_0030_relaxed.cif
struct_0031.cif,-52.584763,-52.686195,8,struct_0031_relaxed.cif
struct_0032.cif,-41.538,-41.5885,6,struct_0032_relaxed.cif
struct_0033.cif,-28.47378,-28.474909,4,struct_0033_relaxed.cif
struct_0034.cif,-114.9384,-115.08157,15,struct_0034_relaxed.cif
struct_0035.cif,-144.94696,-145.0363,18,struct_0035_relaxed.cif
struct_0036.cif,-133.64906,-133.73236,18,struct_0036_relaxed.cif
struct_0037.cif,-162.38574,-162.69989,20,struct_0037_relaxed.cif
struct_0038.cif,-40.037277,-40.037323,5,struct_0038_relaxed.cif
struct_0039.cif,-135.48415,-135.64204,18,struct_0039_relaxed.cif
struct_0040.cif,-28.271463,-28.488264,4,struct_0040_relaxed.cif
struct_0041.cif,-122.28429,-122.47871,16,struct_0041_relaxed.cif
struct_0042.cif,-28.476336,-28.479168,4,struct_0042_relaxed.cif
struct_0043.cif,-79.95775,-79.95782,10,struct_0043_relaxed.cif
struct_0044.cif,-86.88497,-87.05505,12,struct_0044_relaxed.cif
struct_0045.cif,-158.39136,-158.45844,20,struct_0045_relaxed.cif
struct_0046.cif,-129.0161,-132.81116,16,struct_0046_relaxed.cif
struct_0047.cif,-29.65747,-29.657503,4,struct_0047_relaxed.cif
struct_0048.cif,-65.95565,-65.99187,8,struct_0048_relaxed.cif
struct_0049.cif,-167.1233,-167.76367,20,struct_0049_relaxed.cif
struct_0050.cif,-122.46981,-123.201294,16,struct_0050_relaxed.cif
struct_0051.cif,-52.198997,-52.199516,7,struct_0051_relaxed.cif
struct_0052.cif,-108.12733,-108.4068,15,struct_0052_relaxed.cif
struct_0053.cif,-120.80416,-120.89493,16,struct_0053_relaxed.cif
struct_0054.cif,-28.220806,-28.24165,4,struct_0054_relaxed.cif
struct_0055.cif,-56.801956,-56.909584,8,struct_0055_relaxed.cif
struct_0056.cif,-28.225214,-28.245403,4,struct_0056_relaxed.cif
struct_0057.cif,-79.95889,-79.95889,10,struct_0057_relaxed.cif
struct_0058.cif,-127.44569,-127.89999,18,struct_0058_relaxed.cif
struct_0059.cif,-28.463005,-28.46576,4,struct_0059_relaxed.cif
struct_0060.cif,-58.738316,-58.766457,8,struct_0060_relaxed.cif
struct_0061.cif,-109.97811,-110.938995,16,struct_0061_relaxed.cif
struct_0062.cif,-139.30992,-139.40315,18,struct_0062_relaxed.cif
struct_0063.cif,-104.079254,-104.11129,14,struct_0063_relaxed.cif
struct_0064.cif,-39.97505,-39.978603,6,struct_0064_relaxed.cif
struct_0065.cif,-104.602486,-104.625465,14,struct_0065_relaxed.cif
struct_0066.cif,-90.70566,-90.75254,12,struct_0066_relaxed.cif
struct_0067.cif,-92.27017,-92.27629,12,struct_0067_relaxed.cif
struct_0068.cif,-79.99116,-80.00199,10,struct_0068_relaxed.cif
struct_0069.cif,-26.042053,-26.042053,3,struct_0069_relaxed.cif
struct_0070.cif,-40.029625,-40.03374,5,struct_0070_relaxed.cif
struct_0071.cif,-103.56761,-103.579735,14,struct_0071_relaxed.cif
struct_0072.cif,-79.94134,-80.06308,10,struct_0072_relaxed.cif
struct_0073.cif,-99.76339,-100.09579,14,struct_0073_relaxed.cif
struct_0074.cif,-28.252966,-28.486755,4,struct_0074_relaxed.cif
struct_0075.cif,-38.31558,-38.465145,6,struct_0075_relaxed.cif
struct_0076.cif,-130.84296,-130.96849,16,struct_0076_relaxed.cif
struct_0077.cif,-29.676914,-29.67702,4,struct_0077_relaxed.cif
struct_0078.cif,-120.36894,-120.52428,16,struct_0078_relaxed.cif
struct_0079.cif,-28.2848,-28.491741,4,struct_0079_relaxed.cif
struct_0080.cif,-122.8354,-122.88469,16,struct_0080_relaxed.cif
struct_0081.cif,-100.25319,-100.79619,14,struct_0081_relaxed.cif
struct_0082.cif,-58.344547,-58.454384,8,struct_0082_relaxed.cif
struct_0083.cif,-41.80842,-41.851524,6,struct_0083_relaxed.cif
struct_0084.cif,-41.802914,-41.840282,6,struct_0084_relaxed.cif
struct_0085.cif,-90.680984,-90.73166,12,struct_0085_relaxed.cif
struct_0086.cif,-91.56219,-91.5794,12,struct_0086_relaxed.cif
struct_0087.cif,-28.482233,-28.483597,4,struct_0087_relaxed.cif
struct_0088.cif,-103.40974,-103.452675,14,struct_0088_relaxed.cif
struct_0089.cif,-87.94529,-88.19375,12,struct_0089_relaxed.cif
struct_0090.cif,-53.486732,-53.506676,8,struct_0090_relaxed.cif
struct_0091.cif,-40.03594,-40.03696,5,struct_0091_relaxed.cif
struct_0092.cif,-122.07526,-122.17777,16,struct_0092_relaxed.cif
struct_0093.cif,-103.58723,-103.59622,14,struct_0093_relaxed.cif
struct_0094.cif,-28.477928,-28.478794,4,struct_0094_relaxed.cif
struct_0095.cif,-17.394407,-17.394491,3,struct_0095_relaxed.cif
struct_0096.cif,-42.94279,-43.659485,6,struct_0096_relaxed.cif
struct_0097.cif,-52.92494,-52.925457,8,struct_0097_relaxed.cif
struct_0098.cif,-90.309944,-90.34969,12,struct_0098_relaxed.cif
struct_0099.cif,-138.64885,-138.73758,20,struct_0099_relaxed.cif
struct_0100.cif,-28.455479,-28.45593,4,struct_0100_relaxed.cif
struct_0101.cif,-70.26222,-70.89815,9,struct_0101_relaxed.cif
struct_0102.cif,-92.2777,-92.283356,12,struct_0102_relaxed.cif
struct_0103.cif,-117.02321,-117.24873,15,struct_0103_relaxed.cif
struct_0104.cif,-81.85942,-81.89948,11,struct_0104_relaxed.cif
struct_0105.cif,-79.91895,-79.92035,10,struct_0105_relaxed.cif
struct_0106.cif,-31.296467,-31.326326,5,struct_0106_relaxed.cif
struct_0107.cif,-40.03291,-40.034145,5,struct_0107_relaxed.cif
struct_0108.cif,-28.20454,-28.226023,4,struct_0108_relaxed.cif
struct_0109.cif,-79.957794,-79.95782,10,struct_0109_relaxed.cif
struct_0110.cif,-79.90577,-79.91298,10,struct_0110_relaxed.cif
struct_0111.cif,-157.79764,-157.90045,20,struct_0111_relaxed.cif
struct_0112.cif,-145.57355,-145.68478,18,struct_0112_relaxed.cif
struct_0113.cif,-79.997635,-80.012886,10,struct_0113_relaxed.cif
struct_0114.cif,-52.199814,-52.2,7,struct_0114_relaxed.cif
struct_0115.cif,-92.270226,-92.277145,12,struct_0115_relaxed.cif
struct_0116.cif,-92.26159,-92.268654,12,struct_0116_relaxed.cif
struct_0117.cif,-144.98122,-145.11139,18,struct_0117_relaxed.cif
struct_0118.cif,-28.470129,-28.47042,4,struct_0118_relaxed.cif
struct_0119.cif,-105.38851,-105.98436,16,struct_0119_relaxed.cif
struct_0120.cif,-39.9989,-40.00412,5,struct_0120_relaxed.cif
struct_0121.cif,-52.201183,-52.201614,7,struct_0121_relaxed.cif
struct_0122.cif,-80.32721,-80.46697,12,struct_0122_relaxed.cif
struct_0123.cif,-78.87115,-78.8984,10,struct_0123_relaxed.cif
struct_0124.cif,-91.57022,-91.603195,12,struct_0124_relaxed.cif
struct_0125.cif,-40.03376,-40.034653,5,struct_0125_relaxed.cif
struct_0126.cif,-17.395237,-17.39579,3,struct_0126_relaxed.cif
struct_0127.cif,-28.245619,-28.485926,4,struct_0127_relaxed.cif
struct_0128.cif,-57.566605,-57.649178,8,struct_0128_relaxed.cif
struct_0129.cif,-69.03757,-69.13185,9,struct_0129_relaxed.cif
struct_0130.cif,-113.95486,-114.11027,16,struct_0130_relaxed.cif
struct_0131.cif,-81.166275,-81.21566,11,struct_0131_relaxed.cif
struct_0132.cif,-81.99313,-82.015305,11,struct_0132_relaxed.cif
struct_0133.cif,-29.663597,-29.66363,4,struct_0133_relaxed.cif
struct_0134.cif,-58.749607,-58.753723,8,struct_0134_relaxed.cif
struct_0135.cif,-122.72492,-122.916565,16,struct_0135_relaxed.cif
struct_0136.cif,-85.69714,-85.988335,12,struct_0136_relaxed.cif
struct_0137.cif,-80.027,-80.035324,10,struct_0137_relaxed.cif
struct_0138.cif,-114.102554,-114.18038,16,struct_0138_relaxed.cif
struct_0139.cif,-28.45222,-28.452387,4,struct_0139_relaxed.cif
struct_0140.cif,-17.953266,-17.953323,3,struct_0140_relaxed.cif
struct_0141.cif,-52.605865,-52.76961,8,struct_0141_relaxed.cif
struct_0142.cif,-52.2003,-52.20083,7,struct_0142_relaxed.cif
struct_0143.cif,-40.03649,-40.037327,5,struct_0143_relaxed.cif
struct_0144.cif,-90.62827,-90.64018,12,struct_0144_relaxed.cif
struct_0145.cif,-28.489826,-28.494473,4,struct_0145_relaxed.cif
struct_0146.cif,-66.677505,-66.68708,8,struct_0146_relaxed.cif
struct_0147.cif,-128.56625,-128.59772,18,struct_0147_relaxed.cif
struct_0148.cif,-133.12042,-133.16835,16,struct_0148_relaxed.cif
struct_0149.cif,-43.688004,-43.767067,6,struct_0149_relaxed.cif
struct_0150.cif,-80.82159,-81.317024,12,struct_0150_relaxed.cif
struct_0151.cif,-69.20607,-69.2292,9,struct_0151_relaxed.cif
struct_0152.cif,-79.93141,-79.9507,10,struct_0152_relaxed.cif
struct_0153.cif,-58.840706,-58.908928,8,struct_0153_relaxed.cif
struct_0154.cif,-92.27938,-92.28643,12,struct_0154_relaxed.cif
struct_0155.cif,-43.663624,-43.752506,6,struct_0155_relaxed.cif
struct_0156.cif,-28.065891,-28.067268,4,struct_0156_relaxed.cif
struct_0157.cif,-28.710117,-28.993668,4,struct_0157_relaxed.cif
struct_0158.cif,-69.210175,-69.23357,9,struct_0158_relaxed.cif
struct_0159.cif,-93.42326,-93.46472,11,struct_0159_relaxed.cif
struct_0160.cif,-52.20073,-52.20116,7,struct_0160_relaxed.cif
struct_0161.cif,-81.86486,-81.92815,11,struct_0161_relaxed.cif
struct_0162.cif,-130.79852,-130.96289,16,struct_0162_relaxed.cif
struct_0163.cif,-138.68004,-138.7505,20,struct_0163_relaxed.cif
struct_0164.cif,-79.92881,-79.95461,10,struct_0164_relaxed.cif
struct_0165.cif,-92.26338,-92.27134,12,struct_0165_relaxed.cif
struct_0166.cif,-26.456617,-26.45929,3,struct_0166_relaxed.cif
struct_0167.cif,-80.01731,-80.032364,10,struct_0167_relaxed.cif
struct_0168.cif,-40.035812,-40.037567,5,struct_0168_relaxed.cif
struct_0169.cif,-40.036537,-40.03698,5,struct_0169_relaxed.cif
struct_0170.cif,-52.19747,-52.197964,7,struct_0170_relaxed.cif
struct_0171.cif,-79.97665,-79.98351,10,struct_0171_relaxed.cif
struct_0172.cif,-32.691147,-32.74833,6,struct_0172_relaxed.cif
struct_0173.cif,-41.809715,-41.874756,6,struct_0173_relaxed.cif
struct_0174.cif,-29.671057,-29.671057,4,struct_0174_relaxed.cif
struct_0175.cif,-63.533997,-63.53755,9,struct_0175_relaxed.cif
struct_0176.cif,-91.571396,-91.57783,12,struct_0176_relaxed.cif
struct_0177.cif,-28.462946,-28.464806,4,struct_0177_relaxed.cif
struct_0178.cif,-83.90065,-83.96553,12,struct_0178_relaxed.cif
struct_0179.cif,-92.25736,-92.26394,12,struct_0179_relaxed.cif
struct_0180.cif,-139.3941,-139.41924,18,struct_0180_relaxed.cif
struct_0181.cif,-72.193794,-72.542854,11,struct_0181_relaxed.cif
struct_0182.cif,-64.65776,-64.89211,10,struct_0182_relaxed.cif
struct_0183.cif,-88.66171,-88.7447,12,struct_0183_relaxed.cif
struct_0184.cif,-80.03597,-80.04247,10,struct_0184_relaxed.cif
struct_0185.cif,-40.029243,-40.030056,5,struct_0185_relaxed.cif
struct_0186.cif,-91.57259,-91.60919,12,struct_0186_relaxed.cif
struct_0187.cif,-53.906284,-54.039986,8,struct_0187_relaxed.cif
struct_0188.cif,-56.595642,-56.621796,7,struct_0188_relaxed.cif
struct_0189.cif,-155.85262,-156.1407,20,struct_0189_relaxed.cif
struct_0190.cif,-42.81145,-42.875534,6,struct_0190_relaxed.cif
struct_0191.cif,-28.481323,-28.482418,4,struct_0191_relaxed.cif
struct_0192.cif,-52.198566,-52.19899,7,struct_0192_relaxed.cif
struct_0193.cif,-68.54772,-68.58613,9,struct_0193_relaxed.cif
struct_0194.cif,-79.8906,-79.9087,10,struct_0194_relaxed.cif
struct_0195.cif,-91.553856,-91.56016,12,struct_0195_relaxed.cif
struct_0196.cif,-53.465557,-53.51365,8,struct_0196_relaxed.cif
struct_0197.cif,-80.03045,-80.03741,10,struct_0197_relaxed.cif
struct_0198.cif,-40.014503,-40.01822,5,struct_0198_relaxed.cif
struct_0199.cif,-92.259995,-92.26484,12,struct_0199_relaxed.cif
struct_0200.cif,-28.471195,-28.472769,4,struct_0200_relaxed.cif
struct_0201.cif,-54.87919,-54.93381,8,struct_0201_relaxed.cif
struct_0202.cif,-40.031197,-40.036087,5,struct_0202_relaxed.cif
struct_0203.cif,-28.47183,-28.471954,4,struct_0203_relaxed.cif
struct_0204.cif,-113.872185,-114.20338,16,struct_0204_relaxed.cif
struct_0205.cif,-121.90011,-121.95699,16,struct_0205_relaxed.cif
struct_0206.cif,-43.712975,-43.868645,6,struct_0206_relaxed.cif
struct_0207.cif,-17.998028,-18.029806,3,struct_0207_relaxed.cif
struct_0208.cif,-28.467865,-28.467907,4,struct_0208_relaxed.cif
struct_0209.cif,-23.659157,-23.676287,4,struct_0209_relaxed.cif
struct_0210.cif,-70.33618,-70.96774,9,struct_0210_relaxed.cif
struct_0211.cif,-28.477734,-28.482224,4,struct_0211_relaxed.cif
struct_0212.cif,-80.02513,-80.032036,10,struct_0212_relaxed.cif
struct_0213.cif,-42.94519,-43.051723,6,struct_0213_relaxed.cif
struct_0214.cif,-26.042654,-26.042686,3,struct_0214_relaxed.cif
struct_0215.cif,-60.7576,-61.38822,12,struct_0215_relaxed.cif
struct_0216.cif,-57.958637,-58.06343,8,struct_0216_relaxed.cif
struct_0217.cif,-45.150635,-45.22861,8,struct_0217_relaxed.cif
struct_0218.cif,-28.223145,-28.242092,4,struct_0218_relaxed.cif
struct_0219.cif,-113.95527,-114.0757,14,struct_0219_relaxed.cif
struct_0220.cif,-91.55694,-91.56201,12,struct_0220_relaxed.cif
struct_0221.cif,-28.480902,-28.481783,4,struct_0221_relaxed.cif
struct_0222.cif,-79.94714,-79.947174,10,struct_0222_relaxed.cif
struct_0223.cif,-59.097332,-59.255043,12,struct_0223_relaxed.cif
struct_0224.cif,-80.00755,-80.018974,10,struct_0224_relaxed.cif
struct_0225.cif,-27.843445,-27.86258,4,struct_0225_relaxed.cif
struct_0226.cif,-29.645882,-29.645998,4,struct_0226_relaxed.cif
struct_0227.cif,-29.34758,-29.34758,4,struct_0227_relaxed.cif
struct_0228.cif,-89.05006,-89.29265,15,struct_0228_relaxed.cif
struct_0229.cif,-109.902115,-110.01148,15,struct_0229_relaxed.cif
struct_0230.cif,-96.36227,-96.46268,12,struct_0230_relaxed.cif
struct_0231.cif,-109.77423,-109.86643,14,struct_0231_relaxed.cif
struct_0232.cif,-103.55683,-103.57865,14,struct_0232_relaxed.cif
struct_0233.cif,-87.53839,-87.727455,12,struct_0233_relaxed.cif
struct_0234.cif,-146.69048,-146.73499,18,struct_0234_relaxed.cif
struct_0235.cif,-120.040695,-120.057625,15,struct_0235_relaxed.cif
struct_0236.cif,-80.0659,-80.067314,10,struct_0236_relaxed.cif
struct_0237.cif,-43.704407,-43.760742,6,struct_0237_relaxed.cif
struct_0238.cif,-150.09753,-150.14351,19,struct_0238_relaxed.cif
struct_0239.cif,-52.677322,-52.748135,8,struct_0239_relaxed.cif
struct_0240.cif,-82.88311,-82.98465,12,struct_0240_relaxed.cif
struct_0241.cif,-56.802032,-56.892258,8,struct_0241_relaxed.cif
struct_0242.cif,-38.200195,-38.311703,6,struct_0242_relaxed.cif
struct_0243.cif,-92.253105,-92.26432,12,struct_0243_relaxed.cif
struct_0244.cif,-104.74891,-104.760826,14,struct_0244_relaxed.cif
struct_0245.cif,-80.06507,-80.06845,10,struct_0245_relaxed.cif
struct_0246.cif,-40.035656,-40.037174,5,struct_0246_relaxed.cif
struct_0247.cif,-120.095215,-120.103966,15,struct_0247_relaxed.cif
struct_0248.cif,-28.481342,-28.482155,4,struct_0248_relaxed.cif
struct_0249.cif,-33.44938,-33.626793,6,struct_0249_relaxed.cif
struct_0250.cif,-81.62344,-82.32734,12,struct_0250_relaxed.cif
struct_0251.cif,-63.53617,-63.53806,9,struct_0251_relaxed.cif
struct_0252.cif,-28.469215,-28.475224,4,struct_0252_relaxed.cif
struct_0253.cif,-55.323986,-56.319477,8,struct_0253_relaxed.cif
struct_0254.cif,-43.70595,-43.85891,6,struct_0254_relaxed.cif
struct_0255.cif,-162.40527,-162.64612,20,struct_0255_relaxed.cif
struct_0256.cif,-81.780396,-82.01716,12,struct_0256_relaxed.cif
struct_0257.cif,-93.93097,-94.25187,14,struct_0257_relaxed.cif
struct_0258.cif,-53.492786,-53.54382,8,struct_0258_relaxed.cif
struct_0259.cif,-81.86562,-81.92787,11,struct_0259_relaxed.cif
struct_0260.cif,-79.902245,-79.94198,10,struct_0260_relaxed.cif
struct_0261.cif,-81.9899,-82.00465,11,struct_0261_relaxed.cif
struct_0262.cif,-52.20086,-52.20162,7,struct_0262_relaxed.cif
struct_0263.cif,-66.758835,-66.78529,8,struct_0263_relaxed.cif
struct_0264.cif,-92.2747,-92.28132,12,struct_0264_relaxed.cif
struct_0265.cif,-39.979122,-39.979122,5,struct_0265_relaxed.cif
struct_0266.cif,-52.200935,-52.20116,7,struct_0266_relaxed.cif
struct_0267.cif,-43.54638,-43.709785,6,struct_0267_relaxed.cif
struct_0268.cif,-110.053856,-110.06815,14,struct_0268_relaxed.cif
struct_0269.cif,-79.86578,-79.87455,10,struct_0269_relaxed.cif
struct_0270.cif,-109.4229,-109.74158,15,struct_0270_relaxed.cif
struct_0271.cif,-79.145615,-81.22066,12,struct_0271_relaxed.cif
struct_0272.cif,-92.28007,-92.28362,12,struct_0272_relaxed.cif
struct_0273.cif,-160.06664,-160.09308,20,struct_0273_relaxed.cif
struct_0274.cif,-92.257355,-92.26207,12,struct_0274_relaxed.cif
struct_0275.cif,-81.97951,-82.00641,11,struct_0275_relaxed.cif
struct_0276.cif,-40.03335,-40.034405,5,struct_0276_relaxed.cif
struct_0277.cif,-40.034492,-40.034737,5,struct_0277_relaxed.cif
struct_0278.cif,-52.292652,-52.404655,8,struct_0278_relaxed.cif
struct_0279.cif,-41.80997,-41.85016,6,struct_0279_relaxed.cif
struct_0280.cif,-53.47961,-53.502754,8,struct_0280_relaxed.cif
struct_0281.cif,-149.96048,-150.03436,19,struct_0281_relaxed.cif
struct_0282.cif,-42.56345,-42.938805,6,struct_0282_relaxed.cif
struct_0283.cif,-57.39536,-57.406742,8,struct_0283_relaxed.cif
struct_0284.cif,-27.830719,-27.858543,4,struct_0284_relaxed.cif
struct_0285.cif,-92.27864,-92.28377,12,struct_0285_relaxed.cif
struct_0286.cif,-80.00421,-80.017685,10,struct_0286_relaxed.cif
struct_0287.cif,-26.4402,-26.502659,4,struct_0287_relaxed.cif
struct_0288.cif,-98.53011,-98.5629,14,struct_0288_relaxed.cif
struct_0289.cif,-17.397053,-17.397108,3,struct_0289_relaxed.cif
struct_0290.cif,-78.96348,-79.00718,10,struct_0290_relaxed.cif
struct_0291.cif,-128.6595,-128.72536,17,struct_0291_relaxed.cif
struct_0292.cif,-80.007095,-80.01352,10,struct_0292_relaxed.cif
struct_0293.cif,-70.67505,-73.38441,11,struct_0293_relaxed.cif
struct_0294.cif,-81.99499,-82.01631,11,struct_0294_relaxed.cif
struct_0295.cif,-63.5347,-63.53811,9,struct_0295_relaxed.cif
struct_0296.cif,-40.03283,-40.034046,5,struct_0296_relaxed.cif
struct_0297.cif,-133.49295,-133.60233,18,struct_0297_relaxed.cif
struct_0298.cif,-28.471018,-28.471237,4,struct_0298_relaxed.cif
struct_0299.cif,-58.819725,-58.90374,8,struct_0299_relaxed.cif
struct_0300.cif,-44.401127,-44.610176,8,struct_0300_relaxed.cif
struct_0301.cif,-83.05168,-83.06991,11,struct_0301_relaxed.cif
struct_0302.cif,-158.56985,-159.04333,20,struct_0302_relaxed.cif
struct_0303.cif,-79.53708,-82.94145,11,struct_0303_relaxed.cif
struct_0304.cif,-78.92518,-78.92773,10,struct_0304_relaxed.cif
struct_0305.cif,-92.25931,-92.26921,12,struct_0305_relaxed.cif
struct_0306.cif,-52.19567,-52.196114,7,struct_0306_relaxed.cif
struct_0307.cif,-82.59657,-82.60273,11,struct_0307_relaxed.cif
struct_0308.cif,-28.482368,-28.482866,4,struct_0308_relaxed.cif
struct_0309.cif,-78.93537,-78.9356,10,struct_0309_relaxed.cif
struct_0310.cif,-42.76303,-43.595417,6,struct_0310_relaxed.cif
struct_0311.cif,-66.4206,-66.43526,8,struct_0311_relaxed.cif
struct_0312.cif,-59.370342,-59.37048,8,struct_0312_relaxed.cif
struct_0313.cif,-81.53546,-81.679726,12,struct_0313_relaxed.cif
struct_0314.cif,-41.808567,-41.843758,6,struct_0314_relaxed.cif
struct_0315.cif,-80.01148,-80.024185,10,struct_0315_relaxed.cif
struct_0316.cif,-92.28139,-92.28469,12,struct_0316_relaxed.cif
struct_0317.cif,-103.238045,-103.245995,12,struct_0317_relaxed.cif
struct_0318.cif,-69.74768,-69.83981,9,struct_0318_relaxed.cif
struct_0319.cif,-135.5958,-135.67897,18,struct_0319_relaxed.cif
struct_0320.cif,-28.463371,-28.46482,4,struct_0320_relaxed.cif
struct_0321.cif,-92.26744,-92.27477,12,struct_0321_relaxed.cif
struct_0322.cif,-80.03291,-80.04018,10,struct_0322_relaxed.cif
struct_0323.cif,-96.643074,-96.673256,12,struct_0323_relaxed.cif
struct_0324.cif,-28.453468,-28.456133,4,struct_0324_relaxed.cif
struct_0325.cif,-79.99871,-80.00852,10,struct_0325_relaxed.cif
struct_0326.cif,-118.84904,-118.94164,15,struct_0326_relaxed.cif
struct_0327.cif,-29.68047,-29.680555,4,struct_0327_relaxed.cif
struct_0328.cif,-28.482765,-28.483212,4,struct_0328_relaxed.cif
struct_0329.cif,-28.221903,-28.240353,4,struct_0329_relaxed.cif
struct_0330.cif,-121.547386,-121.689606,16,struct_0330_relaxed.cif
struct_0331.cif,-40.03623,-40.037346,5,struct_0331_relaxed.cif
struct_0332.cif,-58.70987,-58.759342,8,struct_0332_relaxed.cif
struct_0333.cif,-80.07127,-80.074814,10,struct_0333_relaxed.cif
struct_0334.cif,-54.47948,-54.555954,8,struct_0334_relaxed.cif
struct_0335.cif,-80.028305,-80.03636,10,struct_0335_relaxed.cif
struct_0336.cif,-123.65953,-123.745865,16,struct_0336_relaxed.cif
struct_0337.cif,-79.67963,-79.690056,10,struct_0337_relaxed.cif
struct_0338.cif,-19.20031,-19.283745,4,struct_0338_relaxed.cif
struct_0339.cif,-92.25699,-92.264145,12,struct_0339_relaxed.cif
struct_0340.cif,-91.570786,-91.591675,12,struct_0340_relaxed.cif
struct_0341.cif,-29.672932,-29.673256,4,struct_0341_relaxed.cif
struct_0342.cif,-52.19816,-52.198643,7,struct_0342_relaxed.cif
struct_0343.cif,-96.62894,-96.68296,12,struct_0343_relaxed.cif
struct_0344.cif,-70.17178,-70.382576,10,struct_0344_relaxed.cif
struct_0345.cif,-52.1994,-52.19984,7,struct_0345_relaxed.cif
struct_0346.cif,-41.80674,-41.862556,6,struct_0346_relaxed.cif
struct_0347.cif,-92.269646,-92.27691,12,struct_0347_relaxed.cif
struct_0348.cif,-78.24183,-78.27231,10,struct_0348_relaxed.cif
struct_0349.cif,-92.265656,-92.274445,12,struct_0349_relaxed.cif
struct_0350.cif,-133.96622,-135.07927,18,struct_0350_relaxed.cif
struct_0351.cif,-11.838216,-11.838216,2,struct_0351_relaxed.cif
struct_0352.cif,-57.37752,-57.387806,8,struct_0352_relaxed.cif
struct_0353.cif,-68.948586,-68.95718,9,struct_0353_relaxed.cif
struct_0354.cif,-28.488865,-28.490767,4,struct_0354_relaxed.cif
struct_0355.cif,-28.46965,-28.4731,4,struct_0355_relaxed.cif
struct_0356.cif,-80.0157,-80.0267,10,struct_0356_relaxed.cif
struct_0357.cif,-100.90507,-101.359344,12,struct_0357_relaxed.cif
struct_0358.cif,-79.731735,-79.76167,10,struct_0358_relaxed.cif
struct_0359.cif,-92.26779,-92.27767,12,struct_0359_relaxed.cif
struct_0360.cif,-28.46652,-28.468218,4,struct_0360_relaxed.cif
struct_0361.cif,-144.07376,-144.32117,18,struct_0361_relaxed.cif
struct_0362.cif,-27.86649,-27.887024,4,struct_0362_relaxed.cif
struct_0363.cif,-40.037693,-40.03862,5,struct_0363_relaxed.cif
struct_0364.cif,-96.83867,-96.95553,12,struct_0364_relaxed.cif
struct_0365.cif,-40.031326,-40.033463,5,struct_0365_relaxed.cif
struct_0366.cif,-28.268585,-28.48852,4,struct_0366_relaxed.cif
struct_0367.cif,-40.03095,-40.034454,5,struct_0367_relaxed.cif
struct_0368.cif,-54.885597,-54.935726,8,struct_0368_relaxed.cif
struct_0369.cif,-52.198196,-52.199524,7,struct_0369_relaxed.cif
struct_0370.cif,-79.80767,-79.824135,10,struct_0370_relaxed.cif
struct_0371.cif,-39.739136,-39.957653,6,struct_0371_relaxed.cif
struct_0372.cif,-151.1846,-151.3409,20,struct_0372_relaxed.cif
struct_0373.cif,-79.93569,-80.072556,10,struct_0373_relaxed.cif
struct_0374.cif,-70.57047,-71.057686,12,struct_0374_relaxed.cif
struct_0375.cif,-92.28263,-92.286156,12,struct_0375_relaxed.cif
struct_0376.cif,-28.480215,-28.482655,4,struct_0376_relaxed.cif
struct_0377.cif,-92.27283,-92.2785,12,struct_0377_relaxed.cif
